Designator,Mid X,Mid Y,Layer,Rotation
D17   ,86.59,-41.31,T,180
D18    ,90.6,-41.31,T,180
D19       ,94.6,-41.31,T,180
D20     ,98.59,-41.31,T,180
D26      ,102.59,-41.31,T,180
D27  ,106.6,-41.3,T,180
D28      ,110.58,-41.3,T,180
D29       ,114.57,-41.3,T,180
D30     ,118.57,-41.3,T,180
D31       ,122.6,-41.31,T,180
D32      ,126.55,-41.3,T,180
D33      ,130.58,-41.31,T,180
D34      ,134.59,-41.3,T,180
D35      ,138.58,-41.3,T,180
D36     ,138.58,-45.32,T,0
D37     ,134.59,-45.35,T,0
D38      ,130.58,-45.36,T,0
D39      ,126.5,-45.35,T,0
D40      ,122.6,-45.36,T,0
D41       ,118.57,-45.35,T,0
D42      ,114.57,-45.35,T,0
D43       ,110.58,-45.23,T,0
D44       ,106.6,-45.25,T,0
D45     ,102.59,-45.29,T,0
D46    ,98.59,-45.36,T,0
D47       ,94.6,45.36,T,0
D48     ,90.6,-45.36,T,0
D49   ,86.58,-45.4,T,0
D50      ,86.58,-49.36,T,180
D51     ,90.6,-49.36,T,180
D52     ,94.6,-49.36,T,180
D53      ,98.59,-49.36,T,180
D54       ,102.59,-49.24,T,180
D55       ,106.6,-49.2,T,180
D56       ,110.58,-49.18,T,180
D57      ,114.57,-49.3,T,180
D58      ,118.62,-49.33,T,180
D59      ,122.65,-49.31,T,180
D60     ,126.5,-49.3,T,180
D61       ,130.58,-49.31,T,180
D62      ,134.59,-49.28,T,180
D63     ,138.58,-49.28,T,180
D64     ,138.58,-53.15,T,0
D65     ,134.59,-53.15,T,0
D66    ,130.58,-53.16,T,0
D67       ,126.5,-53.15,T,0
D68     ,122.65,-53.16,T,0
D69      ,118.62,-53.13,T,0
D70     ,114.57,-53.15,T,0
D71       ,110.58,-53.05,T,0
D72      ,106.6,-53.05,T,0
D73      ,102.59,-53.06,T,0
D74     ,98.59,-53.16,T,0
D75     ,94.6,-53.19,T,0
D76     ,90.6,-53.21,T,0
D77      ,86.59,-53.21,T,0
D78      ,86.59,-57.19,T,180
D79       ,90.6,-57.19,T,180
D80    ,94.6,-57.21,T,180
D81      ,98.59,-57.21,T,180
D82     ,102.59,-57.11,T,180
D83      ,106.6,-57.1,T,180
D84       ,110.58,-57.1,T,180
D85      ,114.57,-57.2,T,180
D86     ,118.62,-57.2,T,180
D87       ,122.65,-57.21,T,180
D88      ,126.5,-57.2,T,180
D89     ,130.58,-57.19,T,180
D90     ,134.59,-57.15,T,180
D91       ,138.58,-57.1,T,180
D92     ,138.57,-60.77,T,0
D93      ,134.59,-60.78,T,0
D94       ,130.58,-60.79,T,0
D95      ,126.51,-60.79,T,0
D96      ,122.64,-60.77,T,0
