Comment,Designator,Footprint,LCSC Part Number
APA102-2020,D17   ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D18    ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D19       ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D20     ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D26      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D27  ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D28      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D29       ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D30     ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D31       ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D32      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D33      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D34      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D35      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D36     ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D37     ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D38      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D39      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D40      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D41       ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D42      ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D43       ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D44       ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D45     ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D46    ,LED_SMD:LED-APA102-2020,POB0202510271414841
APA102-2020,D47       ,LED_SMD:LED-APA102-2020,POB0202510271414841
