Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",158.450000,-99.275000,-90.000000,bottom
"C2","1uF","C_0603_1608Metric",162.450000,-99.275000,-90.000000,bottom
"C3","1uF","C_0603_1608Metric",166.450000,-99.275000,-90.000000,bottom
"C4","1uF","C_0603_1608Metric",170.450000,-99.275000,-90.000000,bottom
"C5","1uF","C_0603_1608Metric",174.450000,-99.275000,-90.000000,bottom
"C6","1uF","C_0603_1608Metric",178.450000,-99.275000,-90.000000,bottom
"C7","1uF","C_0603_1608Metric",182.450000,-99.275000,-90.000000,bottom
"C8","1uF","C_0603_1608Metric",186.450000,-99.275000,-90.000000,bottom
"C9","1uF","C_0603_1608Metric",190.450000,-99.275000,-90.000000,bottom
"C10","1uF","C_0603_1608Metric",194.450000,-99.275000,-90.000000,bottom
"C11","1uF","C_0603_1608Metric",198.450000,-99.275000,-90.000000,bottom
"C12","1uF","C_0603_1608Metric",202.450000,-99.275000,-90.000000,bottom
"C13","1uF","C_0603_1608Metric",206.450000,-99.275000,-90.000000,bottom
"C14","1uF","C_0603_1608Metric",210.450000,-99.275000,-90.000000,bottom
"C15","1uF","C_0603_1608Metric",214.450000,-99.275000,-90.000000,bottom
"C16","1uF","C_0603_1608Metric",218.450000,-99.275000,-90.000000,bottom
"C17","1uF","C_0603_1608Metric",222.450000,-99.275000,-90.000000,bottom
"C18","1uF","C_0603_1608Metric",226.450000,-99.275000,-90.000000,bottom
"C19","1uF","C_0603_1608Metric",230.450000,-99.275000,-90.000000,bottom
"C20","1uF","C_0603_1608Metric",234.450000,-99.275000,-90.000000,bottom
"C21","1uF","C_0603_1608Metric",238.450000,-99.275000,-90.000000,bottom
"C22","1uF","C_0603_1608Metric",242.450000,-99.275000,-90.000000,bottom
"C23","1uF","C_0603_1608Metric",246.450000,-99.275000,-90.000000,bottom
"C24","1uF","C_0603_1608Metric",250.450000,-99.275000,-90.000000,bottom
"C25","1uF","C_0603_1608Metric",254.450000,-99.275000,-90.000000,bottom
"C26","1uF","C_0603_1608Metric",258.450000,-99.275000,-90.000000,bottom
"C27","1uF","C_0603_1608Metric",262.450000,-99.275000,-90.000000,bottom
