Ref,Val,Package,PosX,PosY,Rot,Side
D1,APA102-2020,LED-APA102-2020,156.525,-99.2,180,top
D2,APA102-2020,LED-APA102-2020,160.525,-99.2,180,top
D3,APA102-2020,LED-APA102-2020,164.525,-99.2,180,top
D4,APA102-2020,LED-APA102-2020,168.525,-99.2,180,top
D5,APA102-2020,LED-APA102-2020,172.525,-99.2,180,top
D6,APA102-2020,LED-APA102-2020,176.525,-99.2,180,top
D7,APA102-2020,LED-APA102-2020,180.525,-99.2,180,top
D8,APA102-2020,LED-APA102-2020,184.525,-99.2,180,top
D9,APA102-2020,LED-APA102-2020,188.525,-99.2,180,top
D10,APA102-2020,LED-APA102-2020,192.525,-99.2,180,top
D11,APA102-2020,LED-APA102-2020,196.525,-99.2,180,top
D12,APA102-2020,LED-APA102-2020,200.525,-99.2,180,top
D13,APA102-2020,LED-APA102-2020,204.525,-99.2,180,top
D14,APA102-2020,LED-APA102-2020,208.525,-99.2,180,top
D15,APA102-2020,LED-APA102-2020,212.525,-99.2,180,top
D16,APA102-2020,LED-APA102-2020,216.525,-99.2,180,top
D17,APA102-2020,LED-APA102-2020,220.525,-99.2,180,top
D18,APA102-2020,LED-APA102-2020,224.525,-99.2,180,top
D19,APA102-2020,LED-APA102-2020,228.525,-99.2,180,top
D20,APA102-2020,LED-APA102-2020,232.525,-99.2,180,top
D21,APA102-2020,LED-APA102-2020,236.525,-99.2,180,top
D22,APA102-2020,LED-APA102-2020,240.525,-99.2,180,top
D23,APA102-2020,LED-APA102-2020,244.525,-99.2,180,top
D24,APA102-2020,LED-APA102-2020,248.525,-99.2,180,top
D25,APA102-2020,LED-APA102-2020,252.525,-99.2,180,top
D26,APA102-2020,LED-APA102-2020,256.525,-99.2,180,top
D27,APA102-2020,LED-APA102-2020,260.525,-99.2,180,top
D28,APA102-2020,LED-APA102-2020,264.525,-99.2,180,top
D29,APA102-2020,LED-APA102-2020,268.525,-99.2,180,top
D30,APA102-2020,LED-APA102-2020,272.525,-99.2,180,top
D31,APA102-2020,LED-APA102-2020,276.525,-99.2,180,top
D32,APA102-2020,LED-APA102-2020,280.525,-99.2,180,top
D33,APA102-2020,LED-APA102-2020,284.525,-99.2,180,top
D34,APA102-2020,LED-APA102-2020,288.525,-99.2,180,top
D35,APA102-2020,LED-APA102-2020,292.525,-99.2,180,top
D36,APA102-2020,LED-APA102-2020,296.525,-99.2,180,top
D37,APA102-2020,LED-APA102-2020,300.525,-99.2,180,top
D38,APA102-2020,LED-APA102-2020,304.525,-99.2,180,top
D39,APA102-2020,LED-APA102-2020,308.525,-99.2,180,top
D40,APA102-2020,LED-APA102-2020,312.525,-99.2,180,top
D41,APA102-2020,LED-APA102-2020,316.525,-99.2,180,top
D42,APA102-2020,LED-APA102-2020,320.525,-99.2,180,top
D43,APA102-2020,LED-APA102-2020,324.525,-99.2,180,top
D44,APA102-2020,LED-APA102-2020,328.525,-99.2,180,top
D45,APA102-2020,LED-APA102-2020,332.525,-99.2,180,top
D46,APA102-2020,LED-APA102-2020,336.525,-99.2,180,top
D47,APA102-2020,LED-APA102-2020,340.525,-99.2,180,top
D48,APA102-2020,LED-APA102-2020,344.525,-99.2,180,top
D49,APA102-2020,LED-APA102-2020,348.525,-99.2,180,top
D50,APA102-2020,LED-APA102-2020,352.525,-99.2,180,top
D51,APA102-2020,LED-APA102-2020,356.525,-99.2,180,top
D52,APA102-2020,LED-APA102-2020,360.525,-99.2,180,top
D53,APA102-2020,LED-APA102-2020,364.525,-99.2,180,top
D54,APA102-2020,LED-APA102-2020,368.525,-99.2,180,top
D55,APA102-2020,LED-APA102-2020,372.525,-99.2,180,top
D56,APA102-2020,LED-APA102-2020,376.525,-99.2,180,top
D57,APA102-2020,LED-APA102-2020,380.525,-99.2,180,top
D58,APA102-2020,LED-APA102-2020,384.525,-99.2,180,top
D59,APA102-2020,LED-APA102-2020,388.525,-99.2,180,top
D60,APA102-2020,LED-APA102-2020,392.525,-99.2,180,top
D61,APA102-2020,LED-APA102-2020,396.525,-99.2,180,top
D62,APA102-2020,LED-APA102-2020,400.525,-99.2,180,top
D63,APA102-2020,LED-APA102-2020,404.525,-99.2,180,top
D64,APA102-2020,LED-APA102-2020,408.525,-99.2,180,top
D65,APA102-2020,LED-APA102-2020,412.525,-99.2,180,top
D66,APA102-2020,LED-APA102-2020,416.525,-99.2,180,top
D67,APA102-2020,LED-APA102-2020,420.525,-99.2,180,top
D68,APA102-2020,LED-APA102-2020,424.525,-99.2,180,top
D69,APA102-2020,LED-APA102-2020,428.525,-99.2,180,top
D70,APA102-2020,LED-APA102-2020,432.525,-99.2,180,top
D71,APA102-2020,LED-APA102-2020,156.525,-103.2,180,top
D72,APA102-2020,LED-APA102-2020,160.525,-103.2,180,top
D73,APA102-2020,LED-APA102-2020,164.525,-103.2,180,top
D74,APA102-2020,LED-APA102-2020,168.525,-103.2,180,top
D75,APA102-2020,LED-APA102-2020,172.525,-103.2,180,top
D76,APA102-2020,LED-APA102-2020,176.525,-103.2,180,top
D77,APA102-2020,LED-APA102-2020,180.525,-103.2,180,top
D78,APA102-2020,LED-APA102-2020,184.525,-103.2,180,top
D79,APA102-2020,LED-APA102-2020,188.525,-103.2,180,top
D80,APA102-2020,LED-APA102-2020,192.525,-103.2,180,top
D81,APA102-2020,LED-APA102-2020,196.525,-103.2,180,top
D82,APA102-2020,LED-APA102-2020,200.525,-103.2,180,top
D83,APA102-2020,LED-APA102-2020,204.525,-103.2,180,top
D84,APA102-2020,LED-APA102-2020,208.525,-103.2,180,top
D85,APA102-2020,LED-APA102-2020,212.525,-103.2,180,top
D86,APA102-2020,LED-APA102-2020,216.525,-103.2,180,top
D87,APA102-2020,LED-APA102-2020,220.525,-103.2,180,top
D88,APA102-2020,LED-APA102-2020,224.525,-103.2,180,top
D89,APA102-2020,LED-APA102-2020,228.525,-103.2,180,top
D90,APA102-2020,LED-APA102-2020,232.525,-103.2,180,top
D91,APA102-2020,LED-APA102-2020,236.525,-103.2,180,top
D92,APA102-2020,LED-APA102-2020,240.525,-103.2,180,top
D93,APA102-2020,LED-APA102-2020,244.525,-103.2,180,top
D94,APA102-2020,LED-APA102-2020,248.525,-103.2,180,top
D95,APA102-2020,LED-APA102-2020,252.525,-103.2,180,top
D96,APA102-2020,LED-APA102-2020,256.525,-103.2,180,top
D97,APA102-2020,LED-APA102-2020,260.525,-103.2,180,top
