Reference,Value,Footprint,Datasheet,Qty,Part Number
D1,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D2,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D3,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D4,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D5,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D6,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D7,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D8,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D9,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D10,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D11,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D12,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D13,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D14,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D15,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D16,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D17,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D18,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D19,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D20,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D21,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D22,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D23,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D24,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D25,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
D26,APA102-2020,LED_SMD:LED-APA102-2020,http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,1,APA102-2020
